word,start,end
He,0.0,0.16
was,0.16,0.32
always,0.4,0.96
ready,1.04,1.36
for,1.68,1.84
either,1.84,2.32
a,2.32,2.32
fight,2.48,2.72
or,2.8,3.04
a,3.04,3.04
frolic,3.2,3.76
but,4.4,4.48
had,4.56,4.8
more,4.8,5.12
mischief,5.12,5.44
than,6.0,6.16
ill,6.16,6.48
will,6.48,6.88
in,6.88,7.04
his,7.04,7.12
composition,7.28,8.4
And,9.12,9.28
with,9.28,9.44
all,9.44,9.44
his,9.92,9.92
overbearing,10.0,10.96
roughness,10.96,11.52
there,12.16,12.24
was,12.24,12.4
a,12.48,12.48
strong,12.8,13.44
dash,13.52,13.6
of,14.08,14.24
waggish,14.4,14.72
good,15.04,15.28
humour,15.28,15.84
at,15.84,15.92
bottom,16.0,16.64
He,17.28,17.36
had,17.52,17.68
three,18.48,18.48
or,18.8,18.8
four,18.8,18.8
boon,18.96,19.44
companions,19.52,20.48
who,21.12,21.2
regarded,21.2,21.84
him,22.0,22.24
as,22.24,22.32
their,22.4,22.64
model,22.64,23.28
and,23.84,24.0
at,24.08,24.16
the,24.24,24.32
head,24.32,24.64
of,24.64,24.8
whom,24.96,25.28
he,25.28,25.36
scoured,25.68,26.32
the,26.32,26.4
country,26.48,27.2
attending,27.68,28.32
every,28.32,28.64
scene,28.88,29.28
of,29.28,29.36
feud,29.6,29.76
or,30.08,30.24
merriment,30.24,31.04
from,31.12,31.36
miles,31.36,32.0
around,32.08,32.88
In,33.52,33.76
cold,33.76,34.16
weather,34.24,34.72
he,34.72,34.88
was,34.88,35.04
distinguished,35.12,35.68
by,35.92,36.0
a,36.0,36.24
fur,36.48,36.72
cap,36.88,37.28
surmounted,37.84,38.56
with,38.64,38.8
a,38.88,38.96
flaunting,39.12,39.76
fox's,39.84,40.08
tail,40.56,40.96
And,41.68,41.92
when,41.92,42.08
the,42.08,42.16
folks,42.24,42.48
at,42.8,42.8
a,42.88,42.88
country,43.04,43.44
gathering,43.52,44.24
descried,44.24,45.12
this,45.12,45.28
wellknown,45.44,46.24
crest,46.4,46.56
at,46.8,46.88
a,46.88,46.88
distance,46.88,47.68
whisking,48.32,48.96
about,48.96,49.36
among,49.36,49.76
a,49.76,49.84
squad,50.08,50.48
of,50.48,50.56
hard,50.72,51.12
riders,51.12,51.76
they,52.4,52.48
always,52.8,53.04
stood,53.2,53.44
by,53.44,53.52
for,53.92,54.16
a,54.16,54.16
squall,54.4,55.04
Sometimes,55.68,56.32
his,56.4,56.56
crew,56.72,56.96
would,57.04,57.28
be,57.28,57.36
heard,57.52,57.92
dashing,58.0,58.16
along,58.56,59.2
past,59.2,59.52
the,59.68,59.76
farmhouses,59.84,60.8
at,60.8,60.8
midnight,60.96,61.68
with,61.76,61.92
a,61.92,62.0
whoop,62.16,62.4
and,62.64,62.64
a,62.8,62.8
holler,62.88,63.52
like,64.08,64.24
a,64.32,64.4
troop,64.56,64.72
of,64.8,64.88
down,64.96,65.44
Cossacks,65.52,65.76
And,67.04,67.12
the,67.12,67.2
old,67.28,67.76
dames,67.76,67.84
startled,68.64,69.12
out,69.12,69.36
of,69.36,69.52
their,69.52,69.68
sleep,69.92,70.16
would,70.88,71.04
listen,71.12,71.68
for,71.76,72.0
a,72.0,72.0
moment,72.0,72.56
till,72.64,72.8
the,72.8,72.96
hussar,73.04,73.36
had,73.36,73.36
clattered,74.16,74.72
by,74.72,74.8
and,74.8,75.28
then,75.28,75.52
exclaimed,75.76,76.48
Hey,77.6,77.6
there,77.68,78.0
goes,78.0,78.4
Brom,78.64,79.28
Bones,79.28,79.76
and,79.84,79.84
his,80.16,80.24
gang,80.24,81.04
The,81.76,81.84
neighbours,81.84,82.0
looked,82.48,82.72
upon,82.88,83.28
him,83.28,83.52
with,83.52,83.68
