Word,Start
He,0.0
was,0.16
always,0.4
ready,1.04
for,1.68
either,1.84
a,2.32
fight,2.48
or,2.8
a,3.04
frolic,3.2
but,4.325
had,4.56
more,4.8
mischief,5.12
than,5.925
ill,6.16
will,6.48
in,6.88
his,7.04
composition,7.28
And,9.12
with,9.28
all,9.44
his,9.92
overbearing,10.0
roughness,10.96
there,12.16
was,12.24
a,12.48
strong,12.8
dash,13.45
of,14.08
waggish,14.4
good,15.04
humour,15.28
at,15.84
bottom,16.0
He,17.28
had,17.52
three,17.915
or,18.245
four,18.8
boon,18.96
companions,19.52
who,21.045
regarded,21.125
him,21.93
as,22.24
their,22.4
model,22.565
and,23.84
at,24.005
the,24.24
head,24.32
of,24.64
whom,24.96
he,25.28
the,26.245
country,26.555
attending,27.68
every,28.32
scene,28.88
of,29.28
feud,29.6
or,30.24
merriment,30.24
miles,31.435
around,32.01
In,33.52
cold,33.76
weather,34.24
he,34.72
was,34.88
distinguished,35.12
by,35.92
a,36.0
fur,36.48
cap,36.88
surmounted,37.84
with,38.64
a,38.81
flaunting,39.12
fox's,39.84
tail,40.56
And,41.68
when,41.845
the,42.08
folks,42.24
at,42.725
a,42.805
country,42.97
gathering,43.52
descried,44.24
this,45.12
wellknown,45.44
a,46.88
distance,47.04
whisking,48.32
about,48.96
among,49.36
a,49.76
squad,50.08
of,50.48
hard,50.72
riders,51.12
they,52.4
always,52.8
stood,53.2
by,53.44
for,53.92
a,54.16
squall,54.4
Sometimes,55.68
his,56.4
crew,56.72
would,56.965
be,57.28
heard,57.45
dashing,57.925
along,58.56
past,59.2
the,59.61
farmhouses,59.84
at,60.87
midnight,60.96
with,61.76
a,61.92
whoop,61.99
and,62.64
a,62.8
holler,62.88
like,64.08
a,64.32
troop,64.56
of,64.8
down,64.96
Cossacks,65.84
And,67.04
the,67.12
old,67.28
dames,67.76
startled,68.64
out,69.12
of,69.445
their,69.445
sleep,69.92
would,70.88
listen,71.12
for,71.76
a,72.0
moment,72.0
till,72.64
the,72.8
clattered,74.16
by,74.72
and,75.115
then,75.28
exclaimed,75.76
Hey,77.6
there,77.68
goes,78.0
Brom,78.64
Bones,79.28
and,79.84
his,80.16
gang,80.24
The,81.76
neighbours,81.84
looked,82.48
upon,82.88
him,83.28
with,83.52
