word,start,end
He,0.08,0.4
was,0.4,0.72
always,0.72,1.04
ready,1.04,1.6
for,1.6,1.84
either,1.84,2.24
a,2.24,2.48
fight,2.48,2.88
or,2.88,3.04
a,3.04,3.2
"frolic,",3.2,3.84
but,4.4,4.64
had,4.64,4.96
more,4.96,5.2
mischief,5.2,6.0
than,6.0,6.24
ill,6.24,6.48
will,6.64,6.88
in,6.88,7.2
his,7.2,7.52
"composition,",7.52,8.4
and,9.04,9.28
with,9.28,9.52
all,9.52,9.84
his,9.84,10.16
overbearing,10.16,10.96
roughness,10.96,11.76
there,12.08,12.32
was,12.32,12.56
a,12.56,12.88
strong,12.88,13.44
dash,13.44,14.0
of,14.0,14.32
waggish,14.32,15.12
good,15.12,15.28
humor,15.36,15.84
at,15.84,16.08
bottom.,16.08,16.88
He,17.2,17.52
had,17.52,17.84
three,17.84,18.16
or,18.16,18.48
four,18.48,18.8
boon,18.8,19.36
"companions,",19.68,20.64
who,20.96,21.28
regarded,21.28,22.0
him,22.0,22.16
as,22.16,22.48
their,22.48,22.8
"model,",22.8,23.28
and,23.84,24.08
at,24.08,24.24
the,24.24,24.4
head,24.4,24.72
of,24.72,24.96
whom,24.96,25.28
he,25.28,25.6
scoured,25.6,26.48
the,26.48,26.8
"country,",26.8,27.28
attending,27.6,28.48
every,28.48,28.8
scene,28.8,29.28
of,29.28,29.52
feud,29.52,30.16
or,30.16,30.32
merriment,30.32,31.2
from,31.2,31.52
miles,31.52,32.48
around.,32.48,32.8
In,33.44,33.76
cold,33.76,34.24
weather,34.24,34.64
he,34.72,34.96
was,34.96,35.12
distinguished,35.12,35.92
by,35.92,36.16
a,36.16,36.4
fur,36.4,36.96
"cap,",36.96,37.44
surmounted,37.76,38.64
with,38.64,38.8
a,38.8,39.04
flaunting,39.04,39.84
fox's,39.84,40.72
"tail,",40.72,41.36
and,41.68,41.84
when,41.84,42.08
the,42.08,42.24
folks,42.24,42.72
at,42.72,42.88
a,42.88,43.12
country,43.12,43.6
gathering,43.6,44.32
described,44.32,45.2
this,45.2,45.52
well-known,45.52,46.16
crest,46.16,46.8
at,46.8,47.04
a,47.04,47.2
"distance,",47.2,47.92
whisking,48.24,49.12
about,49.12,49.36
among,49.36,49.76
a,49.76,49.92
squad,49.92,50.48
of,50.48,50.72
hard,50.72,51.2
"riders,",51.2,52.08
they,52.4,52.72
always,52.72,53.04
stood,53.04,53.6
by,53.6,53.84
for,53.84,54.08
a,54.08,54.32
squall.,54.32,55.28
Sometimes,55.6,56.4
his,56.4,56.64
crew,56.64,57.12
would,57.12,57.36
be,57.36,57.52
heard,57.52,58.0
dashing,58.0,58.8
along,58.8,59.2
past,59.2,59.6
the,59.6,59.84
farmhouses,59.84,60.88
at,60.88,61.04
midnight,61.04,61.68
with,61.68,61.92
a,61.92,62.16
whoop,62.16,62.64
and,62.64,62.8
a,62.8,62.96
"hullo,",62.96,63.44
like,64.0,64.24
a,64.24,64.4
troop,64.4,64.8
of,64.8,65.04
Don,65.04,65.44
"Cossacks,",65.6,66.72
and,67.04,67.2
the,67.2,67.36
old,67.36,67.76
"dames,",67.76,68.4
startled,68.64,69.2
out,69.2,69.36
of,69.36,69.6
their,69.6,69.84
"sleep,",69.84,70.48
would,70.8,71.04
listen,71.04,71.68
for,71.68,71.92
a,71.92,72.08
moment,72.08,72.56
till,72.56,72.8
the,72.8,72.96
hurry,72.96,73.36
scurry,73.44,74.08
had,74.08,74.24
clattered,74.24,74.88
by,74.88,75.12
and,75.2,75.36
then,75.36,75.6
"exclaimed,",75.6,76.8
"Hey,",77.12,77.52
there,77.76,78.08
goes,78.08,78.56
Brombones,78.56,79.92
and,79.92,80.16
his,80.16,80.48
gang.,80.48,81.04
The,81.6,81.84
neighbors,81.84,82.4
looked,82.48,82.8
upon,82.8,83.04
him,83.04,83.2
with,83.2,83.28
