Word,Start
He,0.005
was,0.325
always,0.645
ready,0.965
for,1.52
either,1.76
a,2.17
fight,2.41
or,2.81
a,2.97
"frolic,",3.2
but,4.32
had,4.56
more,4.88
mischief,5.12
than,6.0
ill,6.16
will,6.56
in,6.88
his,7.2
"composition,",7.52
and,9.04
with,9.28
all,9.52
his,9.84
overbearing,10.08
roughness,10.96
there,12.08
was,12.32
a,12.565
strong,12.88
dash,13.44
of,14.0
waggish,14.32
good,15.05
humor,15.36
at,15.84
bottom.,16.08
He,17.2
had,17.52
three,17.84
or,18.16
four,18.48
boon,18.8
who,20.96
regarded,21.28
him,22.0
as,22.24
their,22.56
"model,",22.88
and,23.84
at,24.0
the,24.24
head,24.4
of,24.72
whom,24.96
he,25.28
scoured,25.6
the,26.48
"country,",26.8
attending,27.6
every,28.48
scene,28.8
of,29.28
feud,29.52
or,30.08
merriment,30.32
miles,31.52
around.,32.48
In,33.44
cold,33.76
weather,34.24
he,34.72
was,34.88
distinguished,35.12
by,35.92
a,36.09
fur,36.32
surmounted,37.76
with,38.565
a,38.8
flaunting,39.04
fox's,39.84
"tail,",40.65
and,41.61
when,41.77
the,42.005
folks,42.24
at,42.72
a,42.88
country,43.12
gathering,43.6
described,44.32
this,45.2
crest,46.245
at,46.8
a,47.04
whisking,48.24
about,49.12
among,49.36
a,49.76
squad,49.92
of,50.48
hard,50.72
"riders,",51.2
they,52.4
always,52.72
stood,53.04
by,53.6
for,53.84
a,54.08
squall.,54.32
Sometimes,55.6
his,56.4
crew,56.64
would,57.12
be,57.28
heard,57.52
dashing,57.92
along,58.8
past,59.125
the,59.6
farmhouses,59.84
at,60.88
midnight,61.04
with,61.68
a,61.92
whoop,62.16
and,62.64
a,62.96
like,64.0
a,64.4
troop,64.4
of,64.8
Don,64.97
"Cossacks,",65.52
and,66.96
the,67.12
old,67.36
startled,68.64
out,69.2
of,69.36
their,69.6
would,70.72
listen,71.04
for,71.6
a,71.84
moment,72.08
till,72.48
the,72.8
hurry,72.89
scurry,73.44
had,74.08
clattered,74.24
by,74.88
and,75.2
then,75.36
there,77.76
goes,78.005
Brombones,78.56
and,79.92
his,80.24
gang.,80.49
The,81.6
neighbors,81.76
looked,82.48
upon,82.8
him,83.04
with,83.2
