Word,Start
he,0.065
was,0.245
always,0.57
ready,1.14
for,1.645
either,1.901
a,2.286
fight,2.481
or,2.871
a,3.061
frolic,3.246
but,4.391
had,4.601
more,4.946
mischief,5.332
than,5.992
ill,6.252
will,6.572
in,6.912
his,7.047
composition,7.322
and,9.123
with,9.323
all,9.588
his,9.828
overbearing,10.103
roughness,11.033
there,12.153
was,12.374
a,12.584
strong,12.784
dash,13.554
of,14.149
waggish,14.444
good,15.084
humour,15.384
at,15.845
bottom,16.065
he,17.315
had,17.53
three,17.85
or,18.25
four,18.45
boon,18.99
companions,19.536
who,21.071
regarded,21.296
him,22.006
as,22.256
their,22.456
model,22.777
and,23.907
at,24.097
the,24.252
head,24.457
of,24.767
whom,24.947
he,25.307
scoured,25.647
the,26.333
country,26.518
attending,27.758
every,28.418
scene,28.878
of,29.338
feud,29.579
or,30.149
merriment,30.399
for,31.154
miles,31.479
around,32.134
in,33.57
cold,33.82
weather,34.315
he,34.79
was,34.97
distinguished,35.18
by,35.98
a,36.23
fur,36.45
cap,36.896
with,38.691
a,38.951
flaunting,39.161
fox's,39.851
tail,40.572
and,41.697
when,41.892
the,42.097
folks,42.277
at,42.772
a,42.942
country,43.062
gathering,43.623
descried,44.313
this,45.153
known,45.873
crest,46.353
at,46.818
a,46.994
distance,47.144
whisking,48.384
about,49.044
among,49.434
a,49.794
squad,50.064
of,50.535
hard,50.74
riders,51.22
they,52.455
always,52.72
stood,53.175
by,53.525
for,53.941
a,54.166
squall,54.386
sometimes,55.721
his,56.441
crew,56.766
would,57.086
be,57.336
heard,57.542
dashing,58.017
along,58.727
past,59.262
the,59.707
farmhouses,59.927
at,60.928
midnight,61.143
with,61.808
a,62.038
whoop,62.258
and,62.663
a,62.838
like,64.118
a,64.389
troop,64.519
of,64.864
don,65.064
cossacks,65.549
and,67.039
the,67.204
old,67.419
dame,67.82
startled,68.605
out,69.24
of,69.425
their,69.545
sleep,69.9
would,70.91
listen,71.16
for,71.766
a,72.021
moment,72.146
till,72.631
the,72.871
hurry,73.071
scurry,73.546
clattered,74.251
by,74.807
and,75.202
then,75.347
exclaimed,75.572
hey,77.142
there,77.747
goes,78.127
brom,78.708
bones,79.353
and,79.883
his,80.048
gang,80.348
the,81.744
looked,82.554
upon,82.904
him,83.334
