word,start,end
Rambone,0.0,1.2
however,1.28,1.92
was,1.92,2.24
the,2.32,2.48
hero,2.64,3.2
of,3.2,3.2
the,3.36,3.44
scene,3.6,4.08
having,4.8,5.28
come,5.28,5.68
to,5.76,5.84
the,5.84,6.0
gathering,6.08,6.88
on,6.88,7.12
his,7.12,7.28
favourite,7.52,8.08
steed,8.32,8.8
Daredevil,8.96,9.6
a,10.56,10.56
creature,10.72,11.52
like,11.6,11.84
himself,12.32,12.32
full,13.36,13.76
of,13.76,13.84
mettle,13.92,14.64
and,14.64,14.72
mischief,14.8,15.36
and,16.08,16.24
which,16.24,16.4
no,16.56,16.8
one,16.96,17.28
but,17.28,17.44
himself,17.52,18.24
could,18.32,18.48
manage,18.48,18.96
He,19.84,19.92
was,19.92,20.32
in,20.4,20.64
fact,20.72,21.04
noted,21.2,21.92
for,22.08,22.24
preferring,22.32,23.2
vicious,23.28,23.68
animals,24.08,24.48
given,24.64,25.12
to,25.2,25.2
all,25.36,25.76
kinds,25.84,26.24
of,26.32,26.48
tricks,26.72,26.88
which,27.68,27.84
kept,28.08,28.16
the,28.4,28.48
rider,28.48,29.2
in,29.2,29.36
constant,29.44,30.08
risk,30.16,30.4
of,30.56,30.72
his,30.72,30.88
neck,31.04,31.2
for,32.0,32.16
he,32.16,32.32
held,32.4,32.8
that,32.8,32.96
tractable,33.04,33.92
wellbroken,33.92,34.96
horses,35.04,35.44
unworthy,36.0,36.96
of,36.96,37.04
a,37.12,37.12
lad,37.12,37.68
of,37.68,37.84
spirit,38.16,38.56
Vain,39.2,39.84
would,39.92,40.08
I,40.08,40.4
pause,40.64,41.12
to,41.28,41.36
dwell,41.44,42.0
upon,42.0,42.48
the,42.48,42.56
world,42.56,43.2
of,43.2,43.28
charms,43.52,44.16
that,44.24,44.4
burst,44.56,44.88
upon,45.04,45.6
the,45.6,45.76
enraptured,45.76,46.72
gaze,46.8,47.2
of,47.36,47.52
my,47.52,47.84
hero,47.92,48.4
as,48.56,48.64
he,48.8,48.96
entered,48.96,49.44
this,49.52,49.6
state,49.84,50.08
parlor,50.32,51.04
of,51.04,51.12
impossible,51.12,52.16
mansion,52.24,53.04
not,53.68,54.08
those,54.24,54.8
of,54.88,55.04
the,55.12,55.2
bevy,55.68,55.84
of,55.84,56.0
buxom,56.16,56.8
lasses,56.8,57.2
with,58.24,58.4
their,58.48,58.72
luxurious,58.72,59.52
display,59.76,59.84
of,59.84,59.92
red,60.72,61.04
and,61.04,61.28
white,61.28,61.6
but,62.32,62.48
the,62.56,62.8
ample,62.96,63.68
charms,63.92,64.56
of,64.72,64.88
the,64.96,65.12
genuine,65.36,66.24
Dutch,66.32,66.56
country,66.96,67.6
tea,67.84,68.0
table,68.16,68.72
in,68.8,69.04
the,69.04,69.12
sumptuous,69.44,70.08
time,70.4,70.72
of,70.8,70.88
autumn,71.04,71.68
Such,72.32,72.56
heaped,72.88,73.04
up,73.36,73.44
platters,73.76,74.08
of,74.48,74.56
cakes,74.88,75.12
of,75.44,75.6
various,75.76,76.4
and,76.56,76.72
almost,76.8,77.44
indescribable,77.6,79.2
kinds,79.28,80.0
known,80.64,81.2
only,81.2,81.76
to,81.84,82.0
experienced,82.24,82.96
Dutch,83.28,83.44
housewives,83.44,84.48
There,85.28,85.36
was,85.36,85.6
the,85.76,85.84
dolly,86.08,86.56
