word,start,end
"Rombones,",0.08,1.28
"however,",1.44,1.84
was,2.08,2.32
the,2.32,2.64
hero,2.64,3.2
of,3.2,3.44
the,3.44,3.76
"scene,",3.76,4.56
having,4.88,5.36
come,5.36,5.68
to,5.68,5.92
the,5.92,6.16
gathering,6.16,6.96
on,6.96,7.2
his,7.2,7.44
favourite,7.44,8.24
steed,8.24,8.8
"daredevil,",8.8,10.16
a,10.48,10.72
creature,10.72,11.44
like,11.76,12.08
"himself,",12.08,12.88
full,13.2,13.76
of,13.76,14.08
metal,14.08,14.56
and,14.56,14.8
"mischief,",14.8,15.68
and,16.0,16.32
which,16.32,16.64
no,16.64,16.96
one,16.96,17.28
but,17.28,17.52
himself,17.84,18.48
could,18.48,18.8
manage.,18.8,19.44
He,19.76,20.08
"was,",20.08,20.32
in,20.56,20.88
"fact,",20.88,21.04
noted,21.36,22.0
for,22.0,22.32
preferring,22.32,23.2
vicious,23.2,23.84
animals,23.84,24.64
given,24.64,25.36
to,25.36,25.6
all,25.6,25.84
kinds,25.84,26.32
of,26.32,26.64
tricks,26.64,27.36
which,27.68,28.0
kept,28.0,28.4
the,28.4,28.64
rider,28.64,29.28
in,29.28,29.52
constant,29.52,30.16
risk,30.16,30.64
of,30.64,30.88
his,30.88,31.12
"neck,",31.12,31.6
for,31.92,32.16
he,32.16,32.4
held,32.4,32.88
a,32.88,33.12
"tractable,",33.12,33.76
well,34.0,34.32
broken,34.32,35.04
horses,35.04,35.92
unworthy,35.92,36.88
of,36.88,37.12
a,37.12,37.28
lad,37.28,37.76
of,37.76,38.08
spirit.,38.08,38.88
Fain,39.2,39.68
would,39.92,40.24
I,40.24,40.48
pause,40.48,41.12
to,41.12,41.44
dwell,41.44,42.0
upon,42.0,42.56
the,42.56,42.88
world,42.88,43.2
of,43.2,43.52
charms,43.52,44.24
that,44.24,44.56
burst,44.56,45.12
upon,45.12,45.52
the,45.52,45.76
enraptured,45.76,46.8
gaze,46.8,47.44
of,47.44,47.68
my,47.68,48.0
hero,48.0,48.56
as,48.56,48.8
he,48.8,49.04
entered,49.04,49.52
the,49.52,49.76
state,49.76,50.24
parlour,50.24,50.96
of,50.96,51.12
Von,51.12,51.44
Tassel's,51.44,52.56
"mansion,",52.56,53.44
not,53.76,54.08
those,54.4,54.72
of,54.72,55.04
the,55.04,55.28
bevy,55.28,55.92
of,55.92,56.08
buxom,56.08,56.88
lasses,56.88,57.84
with,58.16,58.48
their,58.48,58.72
luxurious,58.72,59.84
display,59.84,60.48
of,60.48,60.8
red,60.8,61.2
and,61.2,61.52
"white,",61.52,62.0
but,62.32,62.64
the,62.64,62.96
ample,62.96,63.52
charms,63.84,64.8
of,64.8,65.04
a,65.04,65.36
genuine,65.36,66.32
Dutch,66.32,67.12
country,67.12,67.68
tea,67.68,68.24
table,68.24,68.8
in,68.8,69.12
the,69.12,69.36
sumptuous,69.36,70.48
time,70.48,70.72
of,70.72,70.96
autumn.,70.96,72.0
Such,72.32,72.8
heaped,72.8,73.44
up,73.44,73.76
platters,73.76,74.48
of,74.48,74.8
cakes,74.8,75.44
of,75.44,75.76
various,75.76,76.64
and,76.64,76.88
almost,76.88,77.76
indescribable,77.76,79.52
kinds,79.52,80.08
known,80.72,81.36
only,81.36,81.68
to,81.68,82.0
experienced,82.0,83.2
Dutch,83.2,83.68
housewives.,83.68,84.96
There,85.28,85.44
was,85.44,85.68
the,85.68,85.84
doughy,85.84,86.24
