word,start,end
bram,0.06,0.42
bones,0.66,1.2
however,1.36,1.88
was,2.081,2.221
the,2.361,2.441
hero,2.641,2.941
of,3.181,3.241
the,3.361,3.441
scene,3.621,4.021
having,4.861,5.221
come,5.381,5.601
to,5.781,5.821
the,5.941,6.001
gathering,6.161,6.842
on,7.002,7.082
his,7.202,7.322
favourite,7.522,8.082
steed,8.322,8.702
dare,8.962,9.242
devil,9.442,9.782
a,10.603,10.603
creature,10.783,11.343
like,11.703,11.903
himself,12.023,12.743
full,13.383,13.623
of,13.763,13.823
metal,14.123,14.464
and,14.624,14.724
mischief,14.864,15.424
and,16.124,16.204
which,16.304,16.484
no,16.784,16.884
one,17.084,17.204
but,17.344,17.464
himself,17.564,18.184
could,18.344,18.504
manage,18.645,19.165
he,19.845,19.905
was,20.125,20.345
in,20.485,20.545
fact,20.765,21.085
noted,21.465,21.925
for,22.125,22.245
preferring,22.385,23.086
vicious,23.326,23.746
animals,23.966,24.526
given,24.746,25.026
to,25.206,25.266
all,25.506,25.706
kinds,25.886,26.306
of,26.426,26.466
tricks,26.706,27.107
which,27.747,27.907
kept,28.087,28.307
the,28.447,28.527
rider,28.667,29.127
in,29.247,29.307
constant,29.507,30.087
risk,30.267,30.527
of,30.687,30.727
his,30.807,30.928
neck,31.128,31.368
for,32.008,32.128
he,32.248,32.288
held,32.488,32.748
a,32.888,32.888
tractable,33.068,33.828
well,34.028,34.288
broken,34.468,34.888
horse,35.109,35.489
s,35.669,35.669
unworthy,35.969,36.829
of,37.009,37.049
a,37.169,37.169
lad,37.309,37.649
of,37.769,37.829
spirit,38.129,38.589
vain,39.25,39.71
would,39.95,40.13
i,40.29,40.29
pause,40.65,41.11
to,41.27,41.33
dwell,41.53,41.87
upon,42.03,42.39
the,42.51,42.57
world,42.77,43.15
of,43.29,43.331
charms,43.571,44.171
that,44.291,44.431
burst,44.631,44.991
upon,45.191,45.511
the,45.651,45.711
enraptured,45.831,46.691
gaze,46.831,47.271
of,47.452,47.512
my,47.652,47.752
hero,48.032,48.332
as,48.632,48.712
he,48.812,48.872
entered,49.072,49.432
the,49.532,49.592
state,49.792,50.132
parlour,50.372,50.912
of,51.032,51.092
von,51.192,51.412
tassel's,51.573,52.193
mansion,52.333,52.933
not,53.833,54.073
those,54.333,54.813
of,54.993,55.053
the,55.153,55.233
bevy,55.413,55.774
of,55.954,56.014
buxom,56.214,56.694
lasses,56.894,57.614
with,58.354,58.474
their,58.574,58.734
luxurious,58.834,59.614
display,59.795,60.435
of,60.595,60.655
red,60.835,61.015
and,61.135,61.235
white,61.375,61.715
but,62.375,62.535
the,62.655,62.735
ample,63.135,63.575
charms,63.916,64.596
of,64.856,64.916
a,65.096,65.096
genuine,65.416,66.076
dutch,66.376,66.696
country,67.036,67.556
tea,67.836,68.016
table,68.217,68.657
in,68.917,68.977
the,69.097,69.177
sumptuous,69.457,70.157
tpime,70.417,70.737
of,70.857,70.917
autumn,71.217,71.577
such,72.398,72.638
heaped,72.878,73.318
up,73.438,73.538
platters,73.818,74.418
of,74.558,74.598
cakes,74.858,75.338
of,75.538,75.598
various,75.838,76.479
and,76.639,76.739
almost,76.979,77.479
indescribable,77.739,79.139
kinds,79.379,80.039
known,80.8,81.1
only,81.38,81.7
to,81.88,81.92
experienced,82.08,83.1
dutch,83.32,83.6
housewives,83.76,84.681
there,85.301,85.461
was,85.541,85.661
the,85.821,85.881
dough,86.181,86.461
