word,start,end
He,0.0,0.24
was,0.24,0.4
always,0.4,0.72
ready,0.72,1.04
for,1.04,1.28
either,1.28,1.52
a,1.52,1.68
fight,1.68,2.0
or,2.0,2.16
a,2.16,2.32
"frolic,",2.32,2.72
but,3.12,3.28
had,3.28,3.52
more,3.52,3.68
mischief,3.68,4.32
than,4.32,4.48
ill,4.48,4.8
will,4.8,5.04
in,5.04,5.2
his,5.2,5.44
"composition,",5.44,6.16
and,6.48,6.64
with,6.64,6.88
all,6.88,7.04
his,7.04,7.28
overbearing,7.28,7.92
roughness,7.92,8.56
there,8.72,8.88
was,8.88,9.04
a,9.04,9.28
strong,9.28,9.68
dash,9.68,10.08
of,10.08,10.32
waggish,10.32,10.96
good,10.96,11.12
humor,11.12,11.52
at,11.52,11.68
bottom.,11.68,12.16
He,12.4,12.64
had,12.64,12.88
three,12.88,13.2
or,13.2,13.44
four,13.44,13.68
boon,13.68,14.24
"companions,",14.24,14.88
who,15.12,15.36
regarded,15.36,15.84
him,15.84,16.08
as,16.08,16.24
their,16.24,16.48
"model,",16.48,16.96
and,17.2,17.44
at,17.44,17.52
the,17.52,17.68
head,17.68,17.92
of,17.92,18.08
whom,18.08,18.32
he,18.32,18.56
scoured,18.56,19.12
the,19.12,19.36
"country,",19.36,19.68
attending,20.0,20.56
every,20.56,20.88
scene,20.88,21.2
of,21.2,21.36
feud,21.36,21.84
or,21.84,22.0
merriment,22.0,22.64
for,22.64,22.88
miles,22.88,23.52
around.,23.52,23.84
In,24.16,24.48
cold,24.48,24.8
weather,24.8,25.2
he,25.2,25.28
was,25.28,25.44
distinguished,25.44,26.08
by,26.08,26.24
a,26.24,26.32
fur,26.32,26.8
"cap,",26.8,27.12
surmounted,27.36,28.0
with,28.0,28.08
a,28.08,28.24
flaunting,28.24,28.88
fox's,28.88,29.44
"tail,",29.44,29.84
and,30.16,30.32
when,30.32,30.48
the,30.48,30.56
folks,30.56,30.96
at,30.96,31.12
a,31.12,31.28
country,31.28,31.6
gathering,31.6,32.08
described,32.08,32.72
this,32.72,32.96
well,32.96,33.12
known,33.2,33.52
crest,33.52,34.0
at,34.0,34.16
a,34.16,34.24
"distance,",34.24,34.72
whisking,34.96,35.6
about,35.6,35.84
among,35.84,36.08
a,36.08,36.16
squad,36.16,36.56
of,36.56,36.8
hard,36.8,37.12
"riders,",37.12,37.68
they,37.92,38.16
always,38.16,38.48
stood,38.48,38.8
by,38.8,39.04
for,39.04,39.2
a,39.2,39.36
squall.,39.36,40.0
Sometimes,40.32,40.88
his,40.88,41.04
crew,41.04,41.44
would,41.44,41.6
be,41.6,41.76
heard,41.76,42.0
dashing,42.0,42.64
along,42.64,42.96
past,42.96,43.2
the,43.2,43.36
farmhouses,43.36,44.16
at,44.16,44.24
midnight,44.24,44.72
with,44.72,44.88
a,44.88,45.04
whoop,45.04,45.44
and,45.44,45.52
a,45.52,45.68
"hullo,",45.68,46.16
like,46.4,46.56
a,46.56,46.64
troop,46.64,46.96
of,46.96,47.12
Don,47.12,47.44
"Cossacks,",47.6,48.24
and,48.56,48.72
the,48.72,48.8
old,48.8,49.12
"dames,",49.12,49.6
startled,49.76,50.24
out,50.24,50.32
of,50.32,50.48
their,50.48,50.64
"sleep,",50.64,51.04
would,51.28,51.52
listen,51.52,51.92
for,51.92,52.08
a,52.08,52.24
moment,52.24,52.56
till,52.56,52.8
the,52.8,52.88
hurry,52.88,53.28
scurry,53.28,53.76
had,53.76,53.84
clattered,53.84,54.32
by,54.32,54.48
and,54.56,54.72
then,54.72,54.88
exclaimed,54.88,55.52
"Hey,",55.84,56.16
there,56.32,56.56
goes,56.56,56.88
Brombones,56.88,58.0
and,58.0,58.16
his,58.16,58.32
gang.,58.32,58.8
The,59.12,59.28
neighbors,59.28,59.76
looked,59.76,60.0
upon,60.0,60.16
him,60.16,60.24
with,60.24,60.32
