word,start,end,-20ms_start,-20ms_end,-15ms_start,-15ms_end,-10ms_start,-10ms_end,-5ms_start,-5ms_end,0ms_start,0ms_end,5ms_start,5ms_end,10ms_start,10ms_end,15ms_start,15ms_end,20ms_start,20ms_end
He,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.0,0.24
was,0.24,0.48,0.24,0.4,0.24,0.48,0.24,0.48,0.24,0.48,0.24,0.48,0.24,0.48,0.24,0.48,0.24,0.48,0.24,0.48
always,0.48,0.8,0.4,0.72,0.48,0.72,0.48,0.72,0.48,0.8,0.48,0.8,0.48,0.8,0.48,0.8,0.48,0.8,0.48,0.8
ready,0.8,1.12,0.72,1.04,0.72,1.04,0.72,1.12,0.8,1.12,0.8,1.12,0.8,1.12,0.8,1.12,0.8,1.12,0.8,1.12
for,1.12,1.28,1.04,1.28,1.04,1.28,1.12,1.28,1.12,1.28,1.12,1.28,1.12,1.28,1.12,1.28,1.12,1.28,1.12,1.28
either,1.28,1.6,1.28,1.52,1.28,1.52,1.28,1.52,1.28,1.6,1.28,1.6,1.28,1.6,1.28,1.6,1.28,1.6,1.28,1.6
a,1.6,1.76,1.52,1.68,1.52,1.76,1.52,1.76,1.6,1.76,1.6,1.76,1.6,1.76,1.6,1.76,1.6,1.76,1.6,1.76
fight,1.76,2.08,1.68,2.0,1.76,2.08,1.76,2.08,1.76,2.08,1.76,2.08,1.76,2.08,1.76,2.08,1.76,2.08,1.76,2.08
or,2.08,2.24,2.0,2.16,2.08,2.16,2.08,2.24,2.08,2.24,2.08,2.24,2.08,2.24,2.08,2.24,2.08,2.24,2.08,2.24
a,2.24,2.32,2.16,2.32,2.16,2.32,2.24,2.32,2.24,2.32,2.24,2.32,2.24,2.32,2.24,2.32,2.24,2.32,2.24,2.32
"frolic,",2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72,2.32,2.72
but,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.28,3.12,3.36
had,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.28,3.52,3.36,3.52
more,3.52,3.76,3.52,3.68,3.52,3.68,3.52,3.68,3.52,3.76,3.52,3.76,3.52,3.76,3.52,3.76,3.52,3.76,3.52,3.76
mischief,3.76,4.32,3.68,4.32,3.68,4.32,3.68,4.32,3.76,4.32,3.76,4.32,3.76,4.32,3.76,4.32,3.76,4.32,3.76,4.32
than,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48,4.32,4.48
ill,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.8,4.48,4.64,4.48,4.8
will,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04,4.8,5.04
in,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2,5.04,5.2
his,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44,5.2,5.44
"composition,",5.44,6.24,5.44,6.16,5.44,6.16,5.44,6.16,5.44,6.16,5.44,6.24,5.44,6.24,5.44,6.24,5.44,6.24,5.44,6.24
and,6.56,6.72,6.48,6.64,6.48,6.64,6.48,6.64,6.48,6.72,6.56,6.72,6.56,6.72,6.56,6.72,6.56,6.72,6.56,6.72
with,6.72,6.88,6.64,6.88,6.64,6.88,6.64,6.88,6.72,6.88,6.72,6.88,6.72,6.88,6.72,6.88,6.72,6.88,6.72,6.88
all,6.88,7.12,6.88,7.04,6.88,7.04,6.88,7.04,6.88,7.12,6.88,7.12,6.88,7.12,6.88,7.12,6.88,7.12,6.88,7.12
his,7.12,7.28,7.04,7.28,7.04,7.28,7.04,7.28,7.12,7.28,7.12,7.28,7.12,7.28,7.12,7.28,7.12,7.28,7.12,7.28
overbearing,7.28,8.0,7.28,7.92,7.28,7.92,7.28,7.92,7.28,8.0,7.28,8.0,7.28,8.0,7.28,8.0,7.28,8.0,7.28,8.0
roughness,8.0,8.56,7.92,8.56,7.92,8.56,7.92,8.56,8.0,8.56,8.0,8.56,8.0,8.56,8.0,8.56,8.0,8.56,8.0,8.56
there,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.88,8.72,8.96,8.72,8.96
was,8.88,9.12,8.88,9.04,8.88,9.04,8.88,9.04,8.88,9.04,8.88,9.12,8.88,9.12,8.88,9.12,8.96,9.12,8.96,9.12
