Word,Start
He,0.0
was,0.24
always,0.42
ready,0.73
for,1.055
either,1.28
a,1.53
fight,1.7
or,2.02
a,2.175
"frolic,",2.32
but,3.12
had,3.28
more,3.52
mischief,3.69
than,4.32
ill,4.48
will,4.8
in,5.04
his,5.2
"composition,",5.44
and,6.485
with,6.65
all,6.88
his,7.05
overbearing,7.28
roughness,7.93
there,8.72
was,8.88
a,9.045
strong,9.28
dash,9.68
of,10.085
waggish,10.32
good,10.96
humor,11.12
at,11.52
bottom.,11.68
He,12.42
had,12.64
three,12.88
or,13.2
four,13.44
boon,13.68
"companions,",14.24
who,15.13
regarded,15.36
him,15.86
as,16.08
their,16.24
"model,",16.48
and,17.215
at,17.44
the,17.54
head,17.68
of,17.92
whom,18.08
he,18.32
scoured,18.56
the,19.12
"country,",19.36
attending,20.0
every,20.56
scene,20.88
of,21.2
feud,21.38
or,21.84
merriment,22.0
for,22.64
miles,22.88
around.,23.53
In,24.17
cold,24.48
weather,24.8
he,25.2
was,25.295
distinguished,25.45
by,26.08
a,26.24
fur,26.33
"cap,",26.8
surmounted,27.36
with,28.0
a,28.1
flaunting,28.24
fox's,28.88
"tail,",29.46
and,30.16
when,30.32
the,30.48
folks,30.565
at,30.96
a,31.12
country,31.28
gathering,31.6
described,32.09
this,32.72
crest,33.52
at,34.0
a,34.16
"distance,",34.25
whisking,34.96
about,35.6
among,35.84
a,36.08
squad,36.18
of,36.58
hard,36.8
"riders,",37.135
they,37.94
always,38.18
stood,38.48
by,38.82
for,39.04
a,39.205
squall.,39.36
Sometimes,40.32
his,40.88
crew,41.04
would,41.44
be,41.6
heard,41.76
dashing,42.0
along,42.63
past,42.96
the,43.2
farmhouses,43.36
at,44.16
midnight,44.25
with,44.73
a,44.88
whoop,45.04
and,45.44
a,45.535
"hullo,",45.68
like,46.4
a,46.56
troop,46.66
of,46.96
Don,47.12
"Cossacks,",47.6
and,48.56
the,48.72
old,48.8
"dames,",49.12
startled,49.76
out,50.24
of,50.34
their,50.48
"sleep,",50.64
would,51.28
listen,51.52
for,51.935
a,52.095
moment,52.24
till,52.57
the,52.8
hurry,52.88
scurry,53.28
had,53.76
clattered,53.84
by,54.32
and,54.56
then,54.72
"Hey,",55.855
there,56.34
goes,56.565
Brombones,56.89
and,58.0
his,58.16
gang.,58.335
The,59.12
neighbors,59.28
looked,59.76
upon,60.0
him,60.16
with,60.24
