word,start,end
he,0.06,0.08
was,0.2,0.28
always,0.42,0.7
ready,0.84,1.04
for,1.2,1.28
either,1.38,1.58
a,1.68,1.68
fight,1.8,2.02
or,2.1,2.14
a,2.24,2.24
frolic,2.36,2.74
but,3.18,3.28
had,3.36,3.46
more,3.581,3.721
mischief,3.881,4.261
than,4.341,4.441
ill,4.541,4.661
will,4.761,4.941
in,5.041,5.061
his,5.141,5.221
composition,5.321,5.961
and,6.621,6.701
with,6.761,6.861
all,6.961,7.081
his,7.141,7.221
overbearing,7.341,7.881
roughness,8.001,8.441
there,8.801,8.921
was,8.981,9.041
a,9.141,9.141
strong,9.281,9.621
dash,9.821,10.141
of,10.281,10.321
waggish,10.481,10.822
good,10.962,11.082
humour,11.182,11.422
at,11.502,11.562
bottom,11.662,11.962
he,12.582,12.622
had,12.742,12.822
three,12.962,13.162
or,13.242,13.282
four,13.402,13.582
boon,13.782,14.022
companions,14.182,14.842
who,15.282,15.342
regarded,15.462,15.882
him,15.982,16.082
as,16.162,16.202
their,16.282,16.422
model,16.522,16.822
and,17.342,17.422
at,17.502,17.542
the,17.603,17.663
head,17.763,17.903
of,17.983,18.023
whom,18.103,18.283
he,18.383,18.403
scoured,18.623,19.043
the,19.123,19.163
country,19.243,19.623
attending,20.123,20.523
every,20.623,20.803
scene,20.963,21.203
of,21.303,21.343
feud,21.463,21.783
or,21.883,21.943
merriment,22.063,22.503
for,22.603,22.703
miles,22.843,23.223
around,23.343,23.763
in,24.363,24.423
cold,24.543,24.804
weather,24.904,25.144
he,25.244,25.284
was,25.384,25.444
distinguished,25.544,26.024
by,26.104,26.184
a,26.304,26.304
fur,26.444,26.604
cap,26.784,27.024
surmountet,27.484,27.984
with,28.084,28.164
a,28.264,28.264
flaunting,28.404,28.784
fox's,28.924,29.304
tail,29.444,29.684
and,30.264,30.344
when,30.404,30.484
the,30.544,30.604
folks,30.684,30.944
at,31.044,31.084
a,31.164,31.164
country,31.244,31.524
gathering,31.644,32.045
descried,32.165,32.685
this,32.765,32.885
well,33.025,33.205
known,33.285,33.485
crest,33.625,33.865
at,33.985,34.025
a,34.105,34.125
distance,34.205,34.605
whisking,35.105,35.485
about,35.585,35.805
among,35.885,36.065
a,36.145,36.145
squad,36.305,36.585
of,36.685,36.725
hard,36.825,37.065
riders,37.165,37.545
they,38.065,38.145
always,38.245,38.485
stood,38.585,38.766
by,38.846,38.946
for,39.146,39.226
a,39.306,39.326
squall,39.466,39.826
sometimes,40.426,40.886
his,40.966,41.046
crew,41.166,41.326
would,41.426,41.546
be,41.626,41.646
heard,41.766,41.946
dashing,42.106,42.506
along,42.606,42.886
past,43.006,43.226
the,43.326,43.386
farmhouses,43.466,44.106
at,44.206,44.246
midnight,44.366,44.766
with,44.846,44.926
a,45.026,45.026
whoop,45.166,45.366
and,45.466,45.546
a,45.606,45.606
hallo,45.666,45.867
like,46.527,46.647
a,46.727,46.727
troop,46.807,46.987
of,47.067,47.107
don,47.207,47.407
cossacks,47.567,48.167
and,48.647,48.707
the,48.767,48.827
old,48.927,49.087
dame,49.207,49.527
startled,49.767,50.167
out,50.247,50.327
of,50.387,50.407
their,50.467,50.607
sleep,50.727,50.967
would,51.427,51.567
listen,51.647,51.887
for,52.067,52.167
a,52.267,52.267
moment,52.347,52.627
till,52.707,52.828
the,52.868,52.928
hurry,53.008,53.208
scurry,53.368,53.628
had,53.708,53.768
clattered,53.868,54.208
by,54.288,54.368
and,54.568,54.628
then,54.688,54.768
exclaimed,54.848,55.428
hey,55.988,56.148
there,56.408,56.588
goes,56.708,56.908
brom,57.108,57.388
bones,57.568,57.888
and,57.968,58.028
his,58.088,58.168
gang,58.308,58.608
the,59.308,59.368
neighbors,59.468,59.808
looked,59.909,60.089
upon,60.169,60.389
him,60.469,60.549
